	drug_concept_id	concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason	_c0	_c1	_c7	_c8	_c9	_c11	_c12	_c13	_c14	_c16	_c17
412	1354118	1354118	epoprostenol	Drug	RxNorm	Ingredient	S	8814	1970-01-01	2099-12-31		8814	ENG	12251638	12251638	8814	RXNORM	IN	8814	epoprostenol	N	4096.0
413	957797	957797	psyllium	Drug	RxNorm	Ingredient	S	8928	1970-01-01	2099-12-31		8928	ENG	12252211	12252211	8928	RXNORM	IN	8928	psyllium	N	4096.0
414	1759270	1759270	pyrantel	Drug	RxNorm	Ingredient	S	8984	1970-01-01	2099-12-31		8984	ENG	12253950	12253950	8984	RXNORM	IN	8984	pyrantel	N	4096.0
415	1159811	1159811	pyrilamine	Drug	RxNorm	Ingredient	S	9009	1970-01-01	2099-12-31		9009	ENG	12252212	12252212	9009	RXNORM	IN	9009	pyrilamine	N	4096.0
416	19135936	19135936	razoxane	Drug	RxNorm	Ingredient	S	9154	1970-01-01	2099-12-31		9154	ENG	2180550	2180550	9154	RXNORM	IN	9154	razoxane	N	
417	964407	964407	salicylic acid	Drug	RxNorm	Ingredient	S	9525	1970-01-01	2099-12-31		9525	ENG	12250543	12250543	9525	RXNORM	IN	9525	salicylic acid	N	4096.0
418	966282	966282	selenium	Drug	RxNorm	Ingredient	S	9641	1970-01-01	2099-12-31		9641	ENG	12254517	12254517	9641	RXNORM	IN	9641	selenium	N	4096.0
419	19069760	19069760	sodium hydroxide	Drug	RxNorm	Ingredient	S	9880	1970-01-01	2099-12-31		9880	ENG	12251083	12251083	9880	RXNORM	IN	9880	sodium hydroxide	N	4096.0
420	1370109	1370109	sotalol	Drug	RxNorm	Ingredient	S	9947	1970-01-01	2099-12-31		9947	ENG	12253958	12253958	9947	RXNORM	IN	9947	sotalol	N	4096.0
421	19070224	19070224	soybean oil	Drug	RxNorm	Ingredient	S	9949	1970-01-01	2099-12-31		9949	ENG	12251084	12251084	9949	RXNORM	IN	9949	soybean oil	N	4096.0
422	1036487	1036487	sulfathiazole	Drug	RxNorm	Ingredient	S	10193	1970-01-01	2099-12-31		10193	ENG	326220	326220	10193	RXNORM	IN	10193	sulfathiazole	N	4096.0
423	1036525	1036525	sulfur	Drug	RxNorm	Ingredient	S	10223	1970-01-01	2099-12-31		10223	ENG	12251657	12251657	10223	RXNORM	IN	10223	sulfur	N	4096.0
424	1237049	1237049	theophylline	Drug	RxNorm	Ingredient	S	10438	1970-01-01	2099-12-31		10438	ENG	12250551	12250551	10438	RXNORM	IN	10438	theophylline	N	4096.0
425	19137377	19137377	thimerosal	Drug	RxNorm	Ingredient	S	10472	1970-01-01	2099-12-31		10472	ENG	12252808	12252808	10472	RXNORM	IN	10472	thimerosal	N	4096.0
426	19000726	19000726	thymol	Drug	RxNorm	Ingredient	S	10553	1970-01-01	2099-12-31		10553	ENG	12250554	12250554	10553	RXNORM	IN	10553	thymol	N	4096.0
427	1302398	1302398	ticlopidine	Drug	RxNorm	Ingredient	S	10594	1970-01-01	2099-12-31		10594	ENG	12251093	12251093	10594	RXNORM	IN	10594	ticlopidine	N	4096.0
428	1502855	1502855	tolbutamide	Drug	RxNorm	Ingredient	S	10635	1970-01-01	2099-12-31		10635	ENG	12254532	12254532	10635	RXNORM	IN	10635	tolbutamide	N	4096.0
429	1303425	1303425	tranexamic acid	Drug	RxNorm	Ingredient	S	10691	1970-01-01	2099-12-31		10691	ENG	12253973	12253973	10691	RXNORM	IN	10691	tranexamic acid	N	4096.0
430	703547	703547	trazodone	Drug	RxNorm	Ingredient	S	10737	1970-01-01	2099-12-31		10737	ENG	12252814	12252814	10737	RXNORM	IN	10737	trazodone	N	4096.0
431	903643	903643	tretinoin	Drug	RxNorm	Ingredient	S	10753	1970-01-01	2099-12-31		10753	ENG	12254533	12254533	10753	RXNORM	IN	10753	tretinoin	N	4096.0
432	903963	903963	triamcinolone	Drug	RxNorm	Ingredient	S	10759	1970-01-01	2099-12-31		10759	ENG	12253380	12253380	10759	RXNORM	IN	10759	triamcinolone	N	4096.0
433	904542	904542	triamterene	Drug	RxNorm	Ingredient	S	10763	1970-01-01	2099-12-31		10763	ENG	12254535	12254535	10763	RXNORM	IN	10763	triamterene	N	4096.0
434	704599	704599	triazolam	Drug	RxNorm	Ingredient	S	10767	1970-01-01	2099-12-31		10767	ENG	12253974	12253974	10767	RXNORM	IN	10767	triazolam	N	4096.0
435	705178	705178	trihexyphenidyl	Drug	RxNorm	Ingredient	S	10811	1970-01-01	2099-12-31		10811	ENG	12251094	12251094	10811	RXNORM	IN	10811	trihexyphenidyl	N	4096.0
436	905531	905531	metipranolol	Drug	RxNorm	Ingredient	S	10824	1970-01-01	2099-12-31		10824	ENG	12252816	12252816	10824	RXNORM	IN	10824	metipranolol	N	4096.0
437	906072	906072	tropicamide	Drug	RxNorm	Ingredient	S	10869	1970-01-01	2099-12-31		10869	ENG	12252818	12252818	10869	RXNORM	IN	10869	tropicamide	N	4096.0
438	1106647	1106647	turpentine	Drug	RxNorm	Ingredient	S	10938	1970-01-01	2099-12-31		10938	ENG	12253979	12253979	10938	RXNORM	IN	10938	turpentine	N	4096.0
439	906914	906914	urea	Drug	RxNorm	Ingredient	S	11002	1970-01-01	2099-12-31		11002	ENG	12253383	12253383	11002	RXNORM	IN	11002	urea	N	4096.0
440	19008261	19008261	viloxazine	Drug	RxNorm	Ingredient	S	11196	1970-01-01	2099-12-31		11196	ENG	12252823	12252823	11196	RXNORM	IN	11196	viloxazine	N	4096.0
441	19010970	19010970	vitamin B complex	Drug	RxNorm	Ingredient	S	11251	1970-01-01	2099-12-31		11251	ENG	12252826	12252826	11251	RXNORM	IN	11251	vitamin B complex	N	4096.0
442	19010309	19010309	water	Drug	RxNorm	Ingredient	S	11295	1970-01-01	2099-12-31		11295	ENG	12250565	12250565	11295	RXNORM	IN	11295	water	N	4096.0
443	1512674	1512674	drospirenone	Drug	RxNorm	Ingredient	S	11636	1970-01-01	2099-12-31		11636	ENG	365700	365700	11636	RXNORM	IN	11636	drospirenone	N	4096.0
444	19011091	19011091	deferiprone	Drug	RxNorm	Ingredient	S	11645	1970-01-01	2099-12-31		11645	ENG	365749	365749	11645	RXNORM	IN	11645	deferiprone	N	4096.0
445	1519936	1519936	etonogestrel	Drug	RxNorm	Ingredient	S	14584	1970-01-01	2099-12-31		14584	ENG	12252828	12252828	14584	RXNORM	IN	14584	etonogestrel	N	4096.0
446	19020002	19020002	vigabatrin	Drug	RxNorm	Ingredient	S	14851	1970-01-01	2099-12-31		14851	ENG	12253387	12253387	14851	RXNORM	IN	14851	vigabatrin	N	4096.0
447	725131	725131	mirtazapine	Drug	RxNorm	Ingredient	S	15996	1970-01-01	2099-12-31		15996	ENG	12253388	12253388	15996	RXNORM	IN	15996	mirtazapine	N	4096.0
448	1729323	1729323	adefovir	Drug	RxNorm	Ingredient	S	16521	1970-01-01	2099-12-31		16521	ENG	380238	380238	16521	RXNORM	IN	16521	adefovir	N	4096.0
449	19030059	19030059	alginic acid	Drug	RxNorm	Ingredient	S	17305	1970-01-01	2099-12-31		17305	ENG	383110	383110	17305	RXNORM	IN	17305	alginic acid	N	4096.0
450	19033634	19033634	artemether	Drug	RxNorm	Ingredient	S	18343	1970-01-01	2099-12-31		18343	ENG	387363	387363	18343	RXNORM	IN	18343	artemether	N	4096.0
451	1734104	1734104	azithromycin	Drug	RxNorm	Ingredient	S	18631	1970-01-01	2099-12-31		18631	ENG	12253989	12253989	18631	RXNORM	IN	18631	azithromycin	N	4096.0
452	934262	934262	balsalazide	Drug	RxNorm	Ingredient	S	18747	1970-01-01	2099-12-31		18747	ENG	388862	388862	18747	RXNORM	IN	18747	balsalazide	N	4096.0
453	19037706	19037706	bismuth oxide	Drug	RxNorm	Ingredient	S	19472	1970-01-01	2099-12-31		19472	ENG	391495	391495	19472	RXNORM	IN	19472	bismuth oxide	N	
454	1346823	1346823	carvedilol	Drug	RxNorm	Ingredient	S	20352	1970-01-01	2099-12-31		20352	ENG	395370	395370	20352	RXNORM	IN	20352	carvedilol	N	4096.0
455	19049145	19049145	celiprolol	Drug	RxNorm	Ingredient	S	20498	1970-01-01	2099-12-31		20498	ENG	12251103	12251103	20498	RXNORM	IN	20498	celiprolol	N	
456	19031524	19031524	cetyl alcohol	Drug	RxNorm	Ingredient	S	20615	1970-01-01	2099-12-31		20615	ENG	397271	397271	20615	RXNORM	IN	20615	cetyl alcohol	N	4096.0
457	19037891	19037891	chlorocresol	Drug	RxNorm	Ingredient	S	20823	1970-01-01	2099-12-31		20823	ENG	398020	398020	20823	RXNORM	IN	20823	chlorocresol	N	4096.0
458	19086560	19086560	danthron	Drug	RxNorm	Ingredient	S	22293	1970-01-01	2099-12-31		22293	ENG	404507	404507	22293	RXNORM	IN	22293	danthron	N	
459	19054876	19054876	dienogest	Drug	RxNorm	Ingredient	S	22968	1970-01-01	2099-12-31		22968	ENG	407154	407154	22968	RXNORM	IN	22968	dienogest	N	4096.0
460	1189596	1189596	dihydrocodeine	Drug	RxNorm	Ingredient	S	23088	1970-01-01	2099-12-31		23088	ENG	407563	407563	23088	RXNORM	IN	23088	dihydrocodeine	N	4096.0
461	19095729	19095729	fenticonazole	Drug	RxNorm	Ingredient	S	24876	1970-01-01	2099-12-31		24876	ENG	414986	414986	24876	RXNORM	IN	24876	fenticonazole	N	
462	19068028	19068028	glycol salicylate	Drug	RxNorm	Ingredient	S	26051	1970-01-01	2099-12-31		26051	ENG	420087	420087	26051	RXNORM	IN	26051	glycol salicylate	N	4096.0
463	1000560	1000560	ondansetron	Drug	RxNorm	Ingredient	S	26225	1970-01-01	2099-12-31		26225	ENG	12251681	12251681	26225	RXNORM	IN	26225	ondansetron	N	4096.0
464	1101703	1101703	homatropine	Drug	RxNorm	Ingredient	S	27084	1970-01-01	2099-12-31		27084	ENG	426712	426712	27084	RXNORM	IN	27084	homatropine	N	4096.0
465	1101898	1101898	leflunomide	Drug	RxNorm	Ingredient	S	27169	1970-01-01	2099-12-31		27169	ENG	427036	427036	27169	RXNORM	IN	27169	leflunomide	N	4096.0
466	1703653	1703653	itraconazole	Drug	RxNorm	Ingredient	S	28031	1970-01-01	2099-12-31		28031	ENG	12250570	12250570	28031	RXNORM	IN	28031	itraconazole	N	4096.0
467	19007803	19007803	lofexidine	Drug	RxNorm	Ingredient	S	28863	1970-01-01	2099-12-31		28863	ENG	433705	433705	28863	RXNORM	IN	28863	lofexidine	N	4096.0
468	908464	908464	magnesium carbonate	Drug	RxNorm	Ingredient	S	29155	1970-01-01	2099-12-31		29155	ENG	434864	434864	29155	RXNORM	IN	29155	magnesium carbonate	N	4096.0
469	908730	908730	magnesium trisilicate	Drug	RxNorm	Ingredient	S	29170	1970-01-01	2099-12-31		29170	ENG	434932	434932	29170	RXNORM	IN	29170	magnesium trisilicate	N	4096.0
470	19008897	19008897	manganese sulfate	Drug	RxNorm	Ingredient	S	29268	1970-01-01	2099-12-31		29268	ENG	435389	435389	29268	RXNORM	IN	29268	manganese sulfate	N	4096.0
471	509081	509081	meningococcal group C polysaccharide	Drug	RxNorm	Ingredient	S	29503	1970-01-01	2099-12-31		29503	ENG	436480	436480	29503	RXNORM	IN	29503	meningococcal group C polysaccharide	N	
472	1709170	1709170	meropenem	Drug	RxNorm	Ingredient	S	29561	1970-01-01	2099-12-31		29561	ENG	1863024	1863024	29561	RXNORM	IN	29561	meropenem	N	4096.0
473	909841	909841	methylnaltrexone	Drug	RxNorm	Ingredient	S	29899	2008-06-29	2099-12-31		29899	ENG	2805009	2805009	29899	RXNORM	IN	29899	methylnaltrexone	N	4096.0
474	19014158	19014158	nalmefene	Drug	RxNorm	Ingredient	S	31479	1970-01-01	2099-12-31		31479	ENG	443454	443454	31479	RXNORM	IN	31479	nalmefene	N	4096.0
475	1314577	1314577	nebivolol	Drug	RxNorm	Ingredient	S	31555	1970-01-01	2099-12-31		31555	ENG	443722	443722	31555	RXNORM	IN	31555	nebivolol	N	4096.0
476	1114620	1114620	nedocromil	Drug	RxNorm	Ingredient	S	31563	1970-01-01	2099-12-31		31563	ENG	12251683	12251683	31563	RXNORM	IN	31563	nedocromil	N	4096.0
477	1515774	1515774	norgestimate	Drug	RxNorm	Ingredient	S	31994	1970-01-01	2099-12-31		31994	ENG	445604	445604	31994	RXNORM	IN	31994	norgestimate	N	4096.0
478	916282	916282	olsalazine	Drug	RxNorm	Ingredient	S	32385	1970-01-01	2099-12-31		32385	ENG	446997	446997	32385	RXNORM	IN	32385	olsalazine	N	4096.0
479	19018882	19018882	oxitropium	Drug	RxNorm	Ingredient	S	32649	1970-01-01	2099-12-31		32649	ENG	448233	448233	32649	RXNORM	IN	32649	oxitropium	N	
480	722031	722031	paroxetine	Drug	RxNorm	Ingredient	S	32937	1970-01-01	2099-12-31		32937	ENG	12252833	12252833	32937	RXNORM	IN	32937	paroxetine	N	4096.0
481	922868	922868	permethrin	Drug	RxNorm	Ingredient	S	33199	1970-01-01	2099-12-31		33199	ENG	12253399	12253399	33199	RXNORM	IN	33199	permethrin	N	4096.0
482	19024213	19024213	pholcodine	Drug	RxNorm	Ingredient	S	33431	1970-01-01	2099-12-31		33431	ENG	451262	451262	33431	RXNORM	IN	33431	pholcodine	N	
483	1326012	1326012	isradipine	Drug	RxNorm	Ingredient	S	33910	1970-01-01	2099-12-31		33910	ENG	12254554	12254554	33910	RXNORM	IN	33910	isradipine	N	4096.0
484	1331235	1331235	quinapril	Drug	RxNorm	Ingredient	S	35208	1970-01-01	2099-12-31		35208	ENG	458717	458717	35208	RXNORM	IN	35208	quinapril	N	4096.0
485	1539403	1539403	simvastatin	Drug	RxNorm	Ingredient	S	36567	1970-01-01	2099-12-31		36567	ENG	12250576	12250576	36567	RXNORM	IN	36567	simvastatin	N	4096.0
486	1140643	1140643	sumatriptan	Drug	RxNorm	Ingredient	S	37418	1970-01-01	2099-12-31		37418	ENG	12251109	12251109	37418	RXNORM	IN	37418	sumatriptan	N	4096.0
487	1341149	1341149	temozolomide	Drug	RxNorm	Ingredient	S	37776	1970-01-01	2099-12-31		37776	ENG	468704	468704	37776	RXNORM	IN	37776	temozolomide	N	4096.0
488	19041536	19041536	testosterone 17-phenylpropionate	Drug	RxNorm	Ingredient	S	37855	1970-01-01	2099-12-31		37855	ENG	469109	469109	37855	RXNORM	IN	37855	testosterone 17-phenylpropionate	N	
489	741530	741530	orlistat	Drug	RxNorm	Ingredient	S	37925	1970-01-01	2099-12-31		37925	ENG	469424	469424	37925	RXNORM	IN	37925	orlistat	N	4096.0
490	742185	742185	atomoxetine	Drug	RxNorm	Ingredient	S	38400	1970-01-01	2099-12-31		38400	ENG	2180568	2180568	38400	RXNORM	IN	38400	atomoxetine	N	4096.0
491	742594	742594	trichloroacetaldehyde	Drug	RxNorm	Ingredient	S	38574	1970-01-01	2099-12-31		38574	ENG	1865225	1865225	38574	RXNORM	IN	38574	trichloroacetaldehyde	N	
492	943634	943634	epinastine	Drug	RxNorm	Ingredient	S	39684	1970-01-01	2099-12-31		39684	ENG	476490	476490	39684	RXNORM	IN	39684	epinastine	N	4096.0
493	19043833	19043833	xamoterol	Drug	RxNorm	Ingredient	S	39801	1970-01-01	2099-12-31		39801	ENG	12252844	12252844	39801	RXNORM	IN	39801	xamoterol	N	
494	19044522	19044522	zinc sulfate	Drug	RxNorm	Ingredient	S	39954	1970-01-01	2099-12-31		39954	ENG	12252845	12252845	39954	RXNORM	IN	39954	zinc sulfate	N	4096.0
495	1344992	1344992	iloprost	Drug	RxNorm	Ingredient	S	40138	1970-01-01	2099-12-31		40138	ENG	12253403	12253403	40138	RXNORM	IN	40138	iloprost	N	4096.0
496	948078	948078	pantoprazole	Drug	RxNorm	Ingredient	S	40790	1970-01-01	2099-12-31		40790	ENG	485118	485118	40790	RXNORM	IN	40790	pantoprazole	N	4096.0
497	951511	951511	mupirocin	Drug	RxNorm	Ingredient	S	42372	1970-01-01	2099-12-31		42372	ENG	12253998	12253998	42372	RXNORM	IN	42372	mupirocin	N	4096.0
498	952045	952045	amphotericin	Drug	RxNorm	Ingredient	S	42527	1970-01-01	2099-12-31		42527	ENG	12254001	12254001	42527	RXNORM	IN	42527	amphotericin	N	
499	1557272	1557272	alendronate	Drug	RxNorm	Ingredient	S	46041	1970-01-01	2099-12-31		46041	ENG	12251115	12251115	46041	RXNORM	IN	46041	alendronate	N	4096.0
500	19113001	19113001	durapatite	Drug	RxNorm	Ingredient	S	49334	1970-01-01	2099-12-31		49334	ENG	12251694	12251694	49334	RXNORM	IN	49334	durapatite	N	
501	1363749	1363749	fosinopril	Drug	RxNorm	Ingredient	S	50166	1970-01-01	2099-12-31		50166	ENG	12252853	12252853	50166	RXNORM	IN	50166	fosinopril	N	4096.0
502	1567198	1567198	insulin aspart, human	Drug	RxNorm	Ingredient	S	51428	1970-01-01	2099-12-31		51428	ENG	11794221	11794221	51428	RXNORM	IN	51428	insulin aspart, human	N	4096.0
503	977421	977421	rimexolone	Drug	RxNorm	Ingredient	S	55681	1970-01-01	2099-12-31		55681	ENG	529511	529511	55681	RXNORM	IN	55681	rimexolone	N	
504	19115055	19115055	sennoside B	Drug	RxNorm	Ingredient	S	56161	1970-01-01	2099-12-31		56161	ENG	530413	530413	56161	RXNORM	IN	56161	sennoside B	N	
505	19077884	19077884	sodium acetate	Drug	RxNorm	Ingredient	S	56443	1970-01-01	2099-12-31		56443	ENG	12254010	12254010	56443	RXNORM	IN	56443	sodium acetate	N	4096.0
506	778474	778474	tizanidine	Drug	RxNorm	Ingredient	S	57258	1970-01-01	2099-12-31		57258	ENG	533206	533206	57258	RXNORM	IN	57258	tizanidine	N	4096.0
507	1781733	1781733	atovaquone	Drug	RxNorm	Ingredient	S	60212	1970-01-01	2099-12-31		60212	ENG	12252856	12252856	60212	RXNORM	IN	60212	atovaquone	N	4096.0
508	981774	981774	adapalene	Drug	RxNorm	Ingredient	S	60223	1970-01-01	2099-12-31		60223	ENG	556746	556746	60223	RXNORM	IN	60223	adapalene	N	4096.0
509	782211	782211	entacapone	Drug	RxNorm	Ingredient	S	60307	1970-01-01	2099-12-31		60307	ENG	556933	556933	60307	RXNORM	IN	60307	entacapone	N	4096.0
510	1584910	1584910	somatropin	Drug	RxNorm	Ingredient	S	61148	1970-01-01	2099-12-31		61148	ENG	12254578	12254578	61148	RXNORM	IN	61148	somatropin	N	4096.0
511	1503501	1503501	lanreotide	Drug	RxNorm	Ingredient	S	68092	1970-01-01	2099-12-31		68092	ENG	605071	605071	68092	RXNORM	IN	68092	lanreotide	N	4096.0
512	1703603	1703603	famciclovir	Drug	RxNorm	Ingredient	S	68099	1970-01-01	2099-12-31		68099	ENG	605112	605112	68099	RXNORM	IN	68099	famciclovir	N	4096.0
513	1308842	1308842	valsartan	Drug	RxNorm	Ingredient	S	69749	1970-01-01	2099-12-31		69749	ENG	609594	609594	69749	RXNORM	IN	69749	valsartan	N	4096.0
514	713196	713196	interferon beta-1b	Drug	RxNorm	Ingredient	S	72257	1970-01-01	2099-12-31		72257	ENG	627522	627522	72257	RXNORM	IN	72257	interferon beta-1b	N	4096.0
515	1524674	1524674	zoledronic acid	Drug	RxNorm	Ingredient	S	77655	1970-01-01	2099-12-31		77655	ENG	640673	640673	77655	RXNORM	IN	77655	zoledronic acid	N	4096.0
516	1545958	1545958	atorvastatin	Drug	RxNorm	Ingredient	S	83367	1970-01-01	2099-12-31		83367	ENG	675801	675801	83367	RXNORM	IN	83367	atorvastatin	N	4096.0
517	1347384	1347384	irbesartan	Drug	RxNorm	Ingredient	S	83818	1970-01-01	2099-12-31		83818	ENG	676994	676994	83818	RXNORM	IN	83818	irbesartan	N	4096.0
518	947416	947416	tazarotene	Drug	RxNorm	Ingredient	S	83947	1970-01-01	2099-12-31		83947	ENG	1878857	1878857	83947	RXNORM	IN	83947	tazarotene	N	4096.0
519	1748921	1748921	ritonavir	Drug	RxNorm	Ingredient	S	85762	1970-01-01	2099-12-31		85762	ENG	12251713	12251713	85762	RXNORM	IN	85762	ritonavir	N	4096.0
520	19059707	19059707	terpin hydrate	Drug	RxNorm	Ingredient	S	89916	1970-01-01	2099-12-31		89916	ENG	12251131	12251131	89916	RXNORM	IN	89916	terpin hydrate	N	
521	961304	961304	shark liver oil	Drug	RxNorm	Ingredient	S	91472	1970-01-01	2099-12-31		91472	ENG	12251134	12251134	91472	RXNORM	IN	91472	shark liver oil	N	4096.0
522	19137031	19137031	ispaghula husk	Drug	RxNorm	Ingredient	S	104129	1970-01-01	2099-12-31		104129	ENG	12250604	12250604	104129	RXNORM	IN	104129	ispaghula husk	N	4096.0
523	19004049	19004049	nicofuranose	Drug	RxNorm	Ingredient	S	104486	1970-01-01	2099-12-31		104486	ENG	786200	786200	104486	RXNORM	IN	104486	nicofuranose	N	
524	19001311	19001311	epoetin beta	Drug	RxNorm	Ingredient	S	105695	1970-01-01	2099-12-31		105695	ENG	792100	792100	105695	RXNORM	IN	105695	epoetin beta	N	
525	905233	905233	mometasone	Drug	RxNorm	Ingredient	S	108118	1970-01-01	2099-12-31		108118	ENG	12253431	12253431	108118	RXNORM	IN	108118	mometasone	N	4096.0
526	1314273	1314273	rituximab	Drug	RxNorm	Ingredient	S	121191	1970-01-01	2099-12-31		121191	ENG	843252	843252	121191	RXNORM	IN	121191	rituximab	N	4096.0
527	19015397	19015397	activated attapulgite	Drug	RxNorm	Ingredient	S	133050	1970-01-01	2099-12-31		133050	ENG	12252287	12252287	133050	RXNORM	IN	133050	activated attapulgite	N	
528	915542	915542	brimonidine	Drug	RxNorm	Ingredient	S	134615	1970-01-01	2099-12-31		134615	ENG	928046	928046	134615	RXNORM	IN	134615	brimonidine	N	4096.0
529	19015802	19015802	lercanidipine	Drug	RxNorm	Ingredient	S	135056	1970-01-01	2099-12-31		135056	ENG	929215	929215	135056	RXNORM	IN	135056	lercanidipine	N	
530	1118117	1118117	naratriptan	Drug	RxNorm	Ingredient	S	141366	1970-01-01	2099-12-31		141366	ENG	942512	942512	141366	RXNORM	IN	141366	naratriptan	N	4096.0
531	19011440	19011440	everolimus	Drug	RxNorm	Ingredient	S	141704	2009-05-03	2099-12-31		141704	ENG	2963071	2963071	141704	RXNORM	IN	141704	everolimus	N	4096.0
532	919839	919839	Arnica extract	Drug	RxNorm	Ingredient	S	144377	1970-01-01	2099-12-31		144377	ENG	954739	954739	144377	RXNORM	IN	144377	Arnica extract	N	
533	1738170	1738170	lopinavir	Drug	RxNorm	Ingredient	S	195088	1970-01-01	2099-12-31		195088	ENG	1087305	1087305	195088	RXNORM	IN	195088	lopinavir	N	4096.0
534	19045290	19045290	evening primrose oil	Drug	RxNorm	Ingredient	S	203219	1970-01-01	2099-12-31		203219	ENG	12251145	12251145	203219	RXNORM	IN	203219	evening primrose oil	N	4096.0
535	951469	951469	calcium acetate	Drug	RxNorm	Ingredient	S	214342	1970-01-01	2099-12-31		214342	ENG	1172861	1172861	214342	RXNORM	IN	214342	calcium acetate	N	4096.0
536	751889	751889	glatiramer	Drug	RxNorm	Ingredient	S	214582	1970-01-01	2099-12-31		214582	ENG	12252878	12252878	214582	RXNORM	IN	214582	glatiramer	N	4096.0
537	1385800	1385800	yohimbine	Drug	RxNorm	Ingredient	S	220982	1970-01-01	2099-12-31		220982	ENG	4605999	4605999	220982	RXNORM	IN	220982	yohimbine	N	4096.0
538	986417	986417	polyethylene glycol 3350	Drug	RxNorm	Ingredient	S	221147	1970-01-01	2099-12-31		221147	ENG	12250616	12250616	221147	RXNORM	IN	221147	polyethylene glycol 3350	N	4096.0
539	1189458	1189458	frovatriptan	Drug	RxNorm	Ingredient	S	228783	1970-01-01	2099-12-31		228783	ENG	1202794	1202794	228783	RXNORM	IN	228783	frovatriptan	N	4096.0
540	989482	989482	dutasteride	Drug	RxNorm	Ingredient	S	228790	1970-01-01	2099-12-31		228790	ENG	12251149	12251149	228790	RXNORM	IN	228790	dutasteride	N	4096.0
541	1389888	1389888	bexarotene	Drug	RxNorm	Ingredient	S	233272	1970-01-01	2099-12-31		233272	ENG	1211225	1211225	233272	RXNORM	IN	233272	bexarotene	N	4096.0
542	40163615	40163615	dronedarone	Drug	RxNorm	Ingredient	S	233698	2009-08-02	2099-12-31		233698	ENG	2977547	2977547	233698	RXNORM	IN	233698	dronedarone	N	4096.0
543	19055378	19055378	potassium hydroxyquinoline sulfate	Drug	RxNorm	Ingredient	S	235776	1970-01-01	2099-12-31		235776	ENG	12252882	12252882	235776	RXNORM	IN	235776	potassium hydroxyquinoline sulfate	N	
544	19090809	19090809	nicoboxil	Drug	RxNorm	Ingredient	S	235788	1970-01-01	2099-12-31		235788	ENG	1216693	1216693	235788	RXNORM	IN	235788	nicoboxil	N	
545	19055907	19055907	amylmetacresol	Drug	RxNorm	Ingredient	S	236248	1970-01-01	2099-12-31		236248	ENG	3019805	3019805	236248	RXNORM	IN	236248	amylmetacresol	N	
546	19056157	19056157	levomenthol	Drug	RxNorm	Ingredient	S	236388	1970-01-01	2099-12-31		236388	ENG	12252300	12252300	236388	RXNORM	IN	236388	levomenthol	N	4096.0
547	991710	991710	sodium phosphate, dibasic	Drug	RxNorm	Ingredient	S	236719	1970-01-01	2099-12-31		236719	ENG	12251747	12251747	236719	RXNORM	IN	236719	sodium phosphate, dibasic	N	4096.0
548	19065820	19065820	Passiflora incarnata extract	Drug	RxNorm	Ingredient	S	253193	1970-01-01	2099-12-31		253193	ENG	5026960	5026960	253193	RXNORM	IN	253193	Passiflora incarnata extract	N	
549	1398039	1398039	St. John's wort extract	Drug	RxNorm	Ingredient	S	258326	1970-01-01	2099-12-31		258326	ENG	12254612	12254612	258326	RXNORM	IN	258326	St. John's wort extract	N	4096.0
550	1799139	1799139	oseltamivir	Drug	RxNorm	Ingredient	S	260101	1970-01-01	2099-12-31		260101	ENG	12250641	12250641	260101	RXNORM	IN	260101	oseltamivir	N	4096.0
551	1703069	1703069	emtricitabine	Drug	RxNorm	Ingredient	S	276237	1970-01-01	2099-12-31		276237	ENG	1337902	1337902	276237	RXNORM	IN	276237	emtricitabine	N	4096.0
552	19069137	19069137	bemiparin	Drug	RxNorm	Ingredient	S	280611	2007-09-02	2099-12-31		280611	ENG	2720216	2720216	280611	RXNORM	IN	280611	bemiparin	N	
553	19071181	19071181	manganese citrate	Drug	RxNorm	Ingredient	S	283767	1970-01-01	2099-12-31		283767	ENG	12253482	12253482	283767	RXNORM	IN	283767	manganese citrate	N	
554	19071833	19071833	Arnica montana extract	Drug	RxNorm	Ingredient	S	285208	1970-01-01	2099-12-31		285208	ENG	12253484	12253484	285208	RXNORM	IN	285208	Arnica montana extract	N	4096.0
555	19071840	19071840	honey preparation	Drug	RxNorm	Ingredient	S	285279	1970-01-01	2099-12-31		285279	ENG	12254627	12254627	285279	RXNORM	IN	285279	honey preparation	N	4096.0
556	1710281	1710281	tenofovir disoproxil	Drug	RxNorm	Ingredient	S	300195	1970-01-01	2099-12-31		300195	ENG	2051345	2051345	300195	RXNORM	IN	300195	tenofovir disoproxil	N	4096.0
557	1510813	1510813	rosuvastatin	Drug	RxNorm	Ingredient	S	301542	1970-01-01	2099-12-31		301542	ENG	1386783	1386783	301542	RXNORM	IN	301542	rosuvastatin	N	4096.0
558	1311276	1311276	vardenafil	Drug	RxNorm	Ingredient	S	306674	1970-01-01	2099-12-31		306674	ENG	1395204	1395204	306674	RXNORM	IN	306674	vardenafil	N	4096.0
559	915935	915935	pimecrolimus	Drug	RxNorm	Ingredient	S	321952	1970-01-01	2099-12-31		321952	ENG	12251764	12251764	321952	RXNORM	IN	321952	pimecrolimus	N	4096.0
